,id,approval,toxic,obscene,threat,insult,hate,offensive,neither
63,64,0.92304593,0.00084769074,0.00016957216,9.903393e-05,0.00021780495,0.00020594826,0.00033602674,0.07507803
64,65,1.5140696e-05,0.00010522423,2.6056798e-05,6.263802e-06,2.6112322e-05,1.42384315e-05,1.3686438e-05,0.99979323
65,66,1.5597221e-05,6.666499e-05,1.9220914e-05,5.6885497e-06,1.8624787e-05,1.3775622e-05,1.417848e-05,0.9998462
66,67,2.0781701e-05,7.2527386e-05,1.833587e-05,5.8019823e-06,1.8328596e-05,1.153314e-05,1.1840039e-05,0.99984086
67,68,2.8679817e-05,4.64239e-05,1.3219056e-05,5.36411e-06,1.498421e-05,1.3206128e-05,1.6199385e-05,0.99986196
68,69,1.9732875e-05,0.00013771123,2.5401725e-05,6.642412e-06,2.6455364e-05,1.4683679e-05,1.0803539e-05,0.99975854
69,70,5.8406884e-05,0.00014687762,1.845035e-05,7.2523158e-06,2.4294844e-05,1.9415535e-05,1.9330051e-05,0.999706
70,71,1.3573592e-05,0.00020552851,4.460463e-05,8.372773e-06,4.410183e-05,2.2761922e-05,1.4266451e-05,0.9996468
71,72,3.6635847e-05,8.218991e-05,1.664641e-05,6.105701e-06,1.8944393e-05,2.0818514e-05,3.1506566e-05,0.9997873
72,73,2.9958226e-05,0.00010423105,1.8563775e-05,6.3731904e-06,2.2826125e-05,1.7500814e-05,1.3221939e-05,0.9997874
73,74,1.8930674e-05,0.00010922541,2.6673599e-05,6.6061966e-06,2.5337185e-05,1.2823274e-05,1.1092329e-05,0.9997894
74,75,2.417036e-05,7.6938464e-05,1.822763e-05,5.7963957e-06,1.9174033e-05,1.2411993e-05,1.1979445e-05,0.9998312
75,76,1.7067898e-05,0.000114574636,2.6632224e-05,6.634325e-06,2.6529735e-05,1.4490863e-05,1.105791e-05,0.999783
76,77,0.000180833,0.00026274365,3.544016e-05,1.1225484e-05,3.975159e-05,1.8400006e-05,1.9339876e-05,0.99943227
77,78,1.8015247e-05,8.484182e-05,1.9831103e-05,5.7472116e-06,2.1700052e-05,1.4192654e-05,1.3561363e-05,0.9998222
78,79,2.152524e-05,0.00017597659,3.1320476e-05,7.413881e-06,3.286279e-05,1.855712e-05,1.3560324e-05,0.9996989
79,80,2.284943e-05,0.0006401104,7.7272016e-05,1.2665432e-05,0.000100440695,4.6914935e-05,2.2345619e-05,0.9990773
80,81,0.00043855957,0.001004901,6.134582e-05,2.2733504e-05,0.00013585952,0.00012976858,0.00012123512,0.9980856
81,82,1.5595271e-05,7.48508e-05,1.942144e-05,5.7652173e-06,1.917384e-05,1.3685427e-05,1.3968675e-05,0.9998375
82,83,1.6187741e-05,0.0002285522,4.05343e-05,8.539489e-06,3.8946007e-05,2.5346904e-05,1.6208642e-05,0.99962556
83,84,1.9157722e-05,8.9932735e-05,1.9256046e-05,6.1580195e-06,2.0895664e-05,1.563342e-05,1.6098531e-05,0.9998128
84,85,2.096384e-05,5.4740904e-05,1.4168377e-05,5.470252e-06,1.5132844e-05,1.3052022e-05,1.4412303e-05,0.99986196
85,86,1.5421634e-05,8.9290224e-05,2.3561968e-05,6.251283e-06,2.2300068e-05,1.5371243e-05,1.3403213e-05,0.99981445
86,87,0.0008588484,0.0002748193,2.8301063e-05,1.243465e-05,4.4385026e-05,4.1372965e-05,4.8202925e-05,0.99869174
87,88,0.9964426,0.00019849687,4.880578e-05,1.9443543e-05,5.8425965e-05,4.724355e-05,8.375305e-05,0.0031011517
88,89,2.1900776e-05,5.4349617e-05,1.5586833e-05,5.485532e-06,1.6199414e-05,1.0841639e-05,1.1810594e-05,0.99986374
89,90,1.4141734e-05,8.071018e-05,2.3270552e-05,6.2384797e-06,2.1269401e-05,1.3328864e-05,1.2087855e-05,0.99982893
90,91,1.8175537e-05,7.724121e-05,1.9722813e-05,6.036104e-06,1.9073866e-05,1.2680658e-05,1.1200389e-05,0.99983585
91,92,1.6940876e-05,0.00014538449,2.7396249e-05,7.5552875e-06,3.0795236e-05,1.8260942e-05,1.5444964e-05,0.9997383
92,93,1.9903642e-05,6.567604e-05,1.7918583e-05,5.645445e-06,1.8098171e-05,1.1248207e-05,1.1350242e-05,0.9998503
93,94,2.874277e-05,5.1597195e-05,1.3484934e-05,5.349638e-06,1.4063885e-05,1.3122741e-05,1.5284995e-05,0.99985826
94,95,1.8514478e-05,7.650493e-05,2.0174779e-05,5.7701577e-06,1.9809635e-05,1.3491487e-05,1.1980676e-05,0.9998338
95,96,3.6954913e-05,0.00016772396,2.313987e-05,7.1962404e-06,2.6978172e-05,3.2786575e-05,1.7420443e-05,0.9996878
96,97,1.7429225e-05,9.4303665e-05,2.352592e-05,6.329199e-06,2.4065157e-05,1.2913831e-05,1.2063652e-05,0.9998093
97,98,2.2280212e-05,5.4914508e-05,1.3638155e-05,5.16831e-06,1.5595653e-05,1.6369313e-05,1.569631e-05,0.99985635
98,99,1.6866998e-05,0.00073520734,0.00012537185,1.5283575e-05,0.00013368324,7.234188e-05,2.9047997e-05,0.9988722
99,100,1.2300924e-05,0.000119680604,3.120567e-05,6.818165e-06,2.9707506e-05,1.906104e-05,1.4443763e-05,0.9997669
100,101,1.3636891e-05,0.00012726415,3.150883e-05,7.1414966e-06,2.8371483e-05,1.6009308e-05,1.2466553e-05,0.99976367
101,102,1.9900783e-05,7.018851e-05,1.806364e-05,5.6585236e-06,1.7565362e-05,1.3070409e-05,1.248339e-05,0.999843
102,103,2.900262e-05,8.629055e-05,1.7034417e-05,5.8938135e-06,2.0123545e-05,1.3201245e-05,1.2047597e-05,0.9998165
103,104,2.891299e-05,7.571299e-05,1.5543692e-05,5.7647794e-06,1.8109859e-05,1.3394389e-05,1.2369441e-05,0.9998301
104,105,1.9409514e-05,6.8691275e-05,1.785333e-05,5.7328034e-06,1.8117107e-05,1.2977096e-05,1.21438125e-05,0.999845
105,106,0.00011130012,8.1830134e-05,1.4619043e-05,6.4814967e-06,2.1171052e-05,1.6142747e-05,2.2376149e-05,0.9997261
106,107,1.9829364e-05,8.8625966e-05,2.1597321e-05,6.173036e-06,2.10351e-05,1.2568276e-05,1.180176e-05,0.9998184
107,108,1.3898124e-05,0.00011549338,2.8561544e-05,7.1782456e-06,2.585602e-05,1.4580549e-05,1.37133e-05,0.99978083
108,109,0.020649755,0.00050033734,7.170163e-05,3.8348826e-05,0.00013920909,0.00030262143,0.0007759219,0.97752213
109,110,1.31936185e-05,7.296405e-05,1.9843552e-05,6.110364e-06,2.00553e-05,1.2818009e-05,1.3740154e-05,0.9998412
110,111,1.6250147e-05,0.00032203557,5.3604712e-05,1.0096522e-05,5.291516e-05,3.252633e-05,1.9606618e-05,0.9994929
111,112,4.6674955e-05,8.839916e-05,1.6786516e-05,6.636787e-06,2.0105781e-05,1.2231904e-05,1.1820278e-05,0.9997974
112,113,1.1448519e-05,0.00013956174,3.580617e-05,7.465113e-06,3.258911e-05,1.6501708e-05,1.3965659e-05,0.9997427
113,114,0.00014036713,0.009756851,0.0006541141,7.5806194e-05,0.0008743912,0.00039309644,0.00016194196,0.9879435
